County,1929_RUNNING,1931_RUNNING,1933_RUNNING,1935_RUNNING,1937_RUNNING,1939_RUNNING,1941_RUNNING,1943_RUNNING,1945_RUNNING,1947_RUNNING,1949_RUNNING,1951_RUNNING,1953_RUNNING,1955_RUNNING,1957_RUNNING,1959_RUNNING,1961_RUNNING,1963_RUNNING,1965_RUNNING,1967_RUNNING,1969_RUNNING,1971_RUNNING,1973_RUNNING,1975_RUNNING,1977_RUNNING,1979_RUNNING,1981_RUNNING,1983_RUNNING,1985_RUNNING,1987_RUNNING,1989_RUNNING,1991_RUNNING,1993_RUNNING,1995_RUNNING,1997_RUNNING,1999_RUNNING,2001_RUNNING,2003_RUNNING,2005_RUNNING,2007_RUNNING,2009_RUNNING,2011_RUNNING,2013_RUNNING,2015_RUNNING,2017_RUNNING,2019_RUNNING,2021_RUNNING,2023_RUNNING,1929_REPS_RUNNING,1931_REPS_RUNNING,1933_REPS_RUNNING,1935_REPS_RUNNING,1937_REPS_RUNNING,1939_REPS_RUNNING,1941_REPS_RUNNING,1943_REPS_RUNNING,1945_REPS_RUNNING,1947_REPS_RUNNING,1949_REPS_RUNNING,1951_REPS_RUNNING,1953_REPS_RUNNING,1955_REPS_RUNNING,1957_REPS_RUNNING,1959_REPS_RUNNING,1961_REPS_RUNNING,1963_REPS_RUNNING,1965_REPS_RUNNING,1967_REPS_RUNNING,1969_REPS_RUNNING,1971_REPS_RUNNING,1973_REPS_RUNNING,1975_REPS_RUNNING,1977_REPS_RUNNING,1979_REPS_RUNNING,1981_REPS_RUNNING,1983_REPS_RUNNING,1985_REPS_RUNNING,1987_REPS_RUNNING,1989_REPS_RUNNING,1991_REPS_RUNNING,1993_REPS_RUNNING,1995_REPS_RUNNING,1997_REPS_RUNNING,1999_REPS_RUNNING,2001_REPS_RUNNING,2003_REPS_RUNNING,2005_REPS_RUNNING,2007_REPS_RUNNING,2009_REPS_RUNNING,2011_REPS_RUNNING,2013_REPS_RUNNING,2015_REPS_RUNNING,2017_REPS_RUNNING,2019_REPS_RUNNING,2021_REPS_RUNNING,2023_REPS_RUNNING
Adair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Allamakee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Kristi Hager, Republican, 2017-2019","Kristi Hager, Republican, 2017-2019","Kristi Hager, Republican, 2017-2019","Kristi Hager, Republican, 2017-2019"
Appanoose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Audubon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Dawn E. Pettengill, Democrat, 2005-2019","Dawn E. Pettengill, Democrat, 2005-2019","Dawn E. Pettengill, Democrat, 2005-2019","Dawn E. Pettengill, Democrat, 2005-2019","Dawn E. Pettengill, Democrat, 2005-2019","Dawn E. Pettengill, Democrat, 2005-2019","Dawn E. Pettengill, Democrat, 2005-2019","Dawn E. Pettengill, Democrat, 2005-2019","Dawn E. Pettengill, Democrat, 2005-2019","Dawn E. Pettengill, Democrat, 2005-2019"
Black Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,4,4,4,4,5,6,6,6,6,6,6,6,6,7,7,9,9,10,11,12,12,12,12,12,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Gertrude S. Cohen, Democrat, 1965-1967","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017<br>Doris J. Kelley, Democrat, 2007-2011<br>Tami J. Wiencek, Republican, 2007-2009","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017<br>Doris J. Kelley, Democrat, 2007-2011<br>Tami J. Wiencek, Republican, 2007-2009","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017<br>Doris J. Kelley, Democrat, 2007-2011<br>Tami J. Wiencek, Republican, 2007-2009<br>Anesa Kajtazovic, Democrat, 2011-2015","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017<br>Doris J. Kelley, Democrat, 2007-2011<br>Tami J. Wiencek, Republican, 2007-2009<br>Anesa Kajtazovic, Democrat, 2011-2015<br>Sandy Salmon, Republican, 2013-2023","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017<br>Doris J. Kelley, Democrat, 2007-2011<br>Tami J. Wiencek, Republican, 2007-2009<br>Anesa Kajtazovic, Democrat, 2011-2015<br>Sandy Salmon, Republican, 2013-2023<br>Timi Brown-Powers, Democrat, 2015-2025","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017<br>Doris J. Kelley, Democrat, 2007-2011<br>Tami J. Wiencek, Republican, 2007-2009<br>Anesa Kajtazovic, Democrat, 2011-2015<br>Sandy Salmon, Republican, 2013-2023<br>Timi Brown-Powers, Democrat, 2015-2025","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017<br>Doris J. Kelley, Democrat, 2007-2011<br>Tami J. Wiencek, Republican, 2007-2009<br>Anesa Kajtazovic, Democrat, 2011-2015<br>Sandy Salmon, Republican, 2013-2023<br>Timi Brown-Powers, Democrat, 2015-2025","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017<br>Doris J. Kelley, Democrat, 2007-2011<br>Tami J. Wiencek, Republican, 2007-2009<br>Anesa Kajtazovic, Democrat, 2011-2015<br>Sandy Salmon, Republican, 2013-2023<br>Timi Brown-Powers, Democrat, 2015-2025","Gertrude S. Cohen, Democrat, 1965-1967<br>Willa C. Conklin, Republican, 1967-1969<br>Mary T. O’Halloran, Democrat, 1973-1979<br>Diane Brandt, Democrat, 1975-1983<br>Jane Teaford, Democrat, 1985-1993<br>Patricia M. Harper, Democrat, 1987-1991, 1993-1997<br>Deborah L. Berry, Democrat, 2003-2017<br>Doris J. Kelley, Democrat, 2007-2011<br>Tami J. Wiencek, Republican, 2007-2009<br>Anesa Kajtazovic, Democrat, 2011-2015<br>Sandy Salmon, Republican, 2013-2023<br>Timi Brown-Powers, Democrat, 2015-2025"
Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,"Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987","Joyce Lonergan, Democrat, 1975-1987"
Bremer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
Buchanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives,No female representatives
